((-4+3x)+9)=-1x,x=-5/4,(= (+ (+ (-4) (* (3) (x))) (9)) (* (-1) (x))),(= (x) (/ (-5) (4)))
((2+4x)+8)=6x,x=5,(= (+ (+ (2) (* (4) (x))) (8)) (* (6) (x))),(= (x) (5))
((6+-3x)+9)=x,x=15/4,(= (+ (+ (6) (* (-3) (x))) (9)) (x)),(= (x) (/ (15) (4)))
((4+-5x)+-1)=-4x,x=3,(= (+ (+ (4) (* (-5) (x))) (-1)) (* (-4) (x))),(= (x) (3))
((-5+7x)+-9)=0,x=2,(= (+ (+ (-5) (* (7) (x))) (-9)) (0)),(= (x) (2))
((8+4x)+-9)=-6x,x=1/10,(= (+ (+ (8) (* (4) (x))) (-9)) (* (-6) (x))),(= (x) (/ (1) (10)))
((1+9x)+-1)=2x,x=0,(= (+ (+ (1) (* (9) (x))) (-1)) (* (2) (x))),(= (x) (0))
((0+-2x)+-6)=8x,x=-3/5,(= (+ (+ (0) (* (-2) (x))) (-6)) (* (8) (x))),(= (x) (/ (-3) (5)))
((-4+4x)+-2)=x,x=2,(= (+ (+ (-4) (* (4) (x))) (-2)) (x)),(= (x) (2))
((-4+-3x)+4)=-8x,x=0,(= (+ (+ (-4) (* (-3) (x))) (4)) (* (-8) (x))),(= (x) (0))
((7+5x)+-4)=0,x=-3/5,(= (+ (+ (7) (* (5) (x))) (-4)) (0)),(= (x) (/ (-3) (5)))
((3+8x)+-8)=9x,x=-5,(= (+ (+ (3) (* (8) (x))) (-8)) (* (9) (x))),(= (x) (-5))
((2+5x)+6)=8x,x=8/3,(= (+ (+ (2) (* (5) (x))) (6)) (* (8) (x))),(= (x) (/ (8) (3)))
((5+-1x)+-9)=-8x,x=4/7,(= (+ (+ (5) (* (-1) (x))) (-9)) (* (-8) (x))),(= (x) (/ (4) (7)))
((-2+9x)+0)=4x,x=2/5,(= (+ (+ (-2) (* (9) (x))) (0)) (* (4) (x))),(= (x) (/ (2) (5)))
((-1+-3x)+1)=3x,x=0,(= (+ (+ (-1) (* (-3) (x))) (1)) (* (3) (x))),(= (x) (0))
((8+x)+-5)=-6x,x=-3/7,(= (+ (+ (8) (x)) (-5)) (* (-6) (x))),(= (x) (/ (-3) (7)))
((5+6x)+-9)=3x,x=4/3,(= (+ (+ (5) (* (6) (x))) (-9)) (* (3) (x))),(= (x) (/ (4) (3)))
((-6+-6x)+-7)=2x,x=-13/8,(= (+ (+ (-6) (* (-6) (x))) (-7)) (* (2) (x))),(= (x) (/ (-13) (8)))
((-5+-8x)+-3)=-9x,x=8,(= (+ (+ (-5) (* (-8) (x))) (-3)) (* (-9) (x))),(= (x) (8))
((-6+8x)+2)=-4x,x=1/3,(= (+ (+ (-6) (* (8) (x))) (2)) (* (-4) (x))),(= (x) (/ (1) (3)))
((4+3x)+-9)=-3x,x=5/6,(= (+ (+ (4) (* (3) (x))) (-9)) (* (-3) (x))),(= (x) (/ (5) (6)))
((1+9x)+-4)=-6x,x=1/5,(= (+ (+ (1) (* (9) (x))) (-4)) (* (-6) (x))),(= (x) (/ (1) (5)))
((-8+-2x)+-6)=7x,x=-14/9,(= (+ (+ (-8) (* (-2) (x))) (-6)) (* (7) (x))),(= (x) (/ (-14) (9)))
((-3+-9x)+8)=-7x,x=5/2,(= (+ (+ (-3) (* (-9) (x))) (8)) (* (-7) (x))),(= (x) (/ (5) (2)))
((1+9x)+5)=-4x,x=-6/13,(= (+ (+ (1) (* (9) (x))) (5)) (* (-4) (x))),(= (x) (/ (-6) (13)))
((9+-1x)+-9)=3x,x=0,(= (+ (+ (9) (* (-1) (x))) (-9)) (* (3) (x))),(= (x) (0))
((-9+7x)+-2)=3x,x=11/4,(= (+ (+ (-9) (* (7) (x))) (-2)) (* (3) (x))),(= (x) (/ (11) (4)))
