,Equation Number,Equation Output
0,0,"(1 / 2) = x
 | x = (1 / 2) | x = [1/2]"
1,21,"((-1) / 2) = x
 | x = ((-1) / 2) | x = ([-1/2])"
2,28,"(-1x + 2x) = (-3)
 | (((-1) + 2) * x) = (-3) | 1x = (-3) | x = (-3)"
3,49,"(-1x + 2x) = ((-3) + 4)
 | (((-1) + 2) * x) = ((-3) + 4) | 1x = ((-3) + 4) | 1x = 1 | x = 1"
4,50,"1x = (2 + 3)
 | 1x = 5 | x = 5"
5,65,"((1 - 2) / 3) = x
 | x = ((1 - 2) / 3) | x = ((-1) / 3) | x = ([-1/3])"
6,82,"(-1) = x
 | x = (-1)"
7,85,"x = ((1 - 2) / (-3))
 | x = ((-1) / (-3)) | x = [1/3]"
8,87,"1x = (2x / x)
 | 1x = (2 * (x / x)) | 1x = (2 * 1) | 1x = 2 | x = 2"
9,100,"x = (((-1) + 2) / 3)
 | x = (1 / 3) | x = [1/3]"
10,102,"-1x = ((2 / x) * x)
 | -1x = (x * (2 / x)) | (x * (2 / x)) = -1x | ((x * (2 / x)) * (-1)) = (-1x * (-1)) | (x * ((2 / x) * (-1))) = (-1x * (-1)) | (x * ((2 / x) * (-1))) = ((-1) * -1x) | (x * ((2 / x) * (-1))) = (((-1) * (-1)) * x) | ((x * (2 / x)) * (-1)) = (((-1) * (-1)) * x) | (((-1) * (-1)) * x) = ((x * (2 / x)) * (-1)) | (((-1) * (-1)) * x) = ((-1) * (x * (2 / x))) | (((-1) * (-1)) * x) = (-1x * (2 / x)) | (((-1) * (-1)) * x) = ((-1x * 2) / x) | (((-1) * (-1)) * x) = ((2 * -1x) / x) | (((-1) * (-1)) * x) = (((2 * (-1)) * x) / x) | (((-1) * (-1)) * x) = ((2 * (-1)) * (x / x)) | (((-1) * (-1)) * x) = ((2 * (-1)) * 1) | 1x = ((2 * (-1)) * 1) | 1x = ((-2) * 1) | 1x = (-2) | x = (-2)"
11,103,"((-1) - 2) = (3x - 4x)
 | ((-1) - 2) = ((3 - 4) * x) | ((3 - 4) * x) = ((-1) - 2) | -1x = ((-1) - 2) | -1x = (-3) | (x * (-1)) = (-3) | ((x * (-1)) * (-1)) = ((-3) * (-1)) | (x * ((-1) * (-1))) = ((-3) * (-1)) | (((-1) * (-1)) * x) = ((-3) * (-1)) | 1x = ((-3) * (-1)) | 1x = 3 | x = 3"
12,105,"1x = 2
 | x = 2"
13,111,"-1x = (2 + 3)
 | -1x = 5 | (x * (-1)) = 5 | ((x * (-1)) * (-1)) = (5 * (-1)) | (x * ((-1) * (-1))) = (5 * (-1)) | (((-1) * (-1)) * x) = (5 * (-1)) | 1x = (5 * (-1)) | 1x = (-5) | x = (-5)"
14,129,"1 = (2x - 3x)
 | 1 = ((2 - 3) * x) | ((2 - 3) * x) = 1 | -1x = 1 | (x * (-1)) = 1 | ((x * (-1)) * (-1)) = (1 * (-1)) | (x * ((-1) * (-1))) = (1 * (-1)) | (((-1) * (-1)) * x) = (1 * (-1)) | 1x = (1 * (-1)) | 1x = (-1) | x = (-1)"
15,133,"x = ((1 + 2) / 3)
 | x = (3 / 3) | x = 1"
16,185,"1x = (-2)
 | x = (-2)"
17,187,"1x = (2 - 3)
 | 1x = (-1) | x = (-1)"
18,196,"-1x = (2 - 3)
 | -1x = (-1) | (x * (-1)) = (-1) | ((x * (-1)) * (-1)) = ((-1) * (-1)) | (x * ((-1) * (-1))) = ((-1) * (-1)) | (((-1) * (-1)) * x) = ((-1) * (-1)) | 1x = ((-1) * (-1)) | 1x = 1 | x = 1"
19,229,"(-1) = (-2x + 3x)
 | (-1) = (((-2) + 3) * x) | (((-2) + 3) * x) = (-1) | 1x = (-1) | x = (-1)"
20,234,"(-1) = (((-2) - 3x) + 4x)
 | ((-1) - (-2)) = ((((-2) - 3x) + 4x) - (-2)) | ((-1) - (-2)) = ((((-2) + -3x) + 4x) - (-2)) | 1 = ((((-2) + -3x) + 4x) - (-2)) | 1 = ((4x + ((-2) + -3x)) - (-2)) | 1 = ((4x + (-3x + (-2))) - (-2)) | 1 = (((4x + -3x) + (-2)) - (-2)) | 1 = ((((4 + (-3)) * x) + (-2)) - (-2)) | 1 = ((1x + (-2)) - (-2)) | 1 = (1x + ((-2) - (-2))) | 1 = (1x + 0) | (1x + 0) = 1 | 1x = 1 | x = 1"
21,244,"(1 / (-2)) = x
 | x = (1 / (-2)) | x = ([-1/2])"
22,255,"((-1) / (-2)) = x
 | x = ((-1) / (-2)) | x = [1/2]"
23,261,"1x = ((-2) - 3)
 | 1x = (-5) | x = (-5)"
24,263,"(-1x + 2x) = ((-3) - 4)
 | (((-1) + 2) * x) = ((-3) - 4) | 1x = ((-3) - 4) | 1x = (-7) | x = (-7)"
25,269,"(((-1) - 2x) + 3x) = 4
 | (3x + ((-1) - 2x)) = 4 | (3x + ((-1) + -2x)) = 4 | (3x + (-2x + (-1))) = 4 | ((3x + -2x) + (-1)) = 4 | (((3 + (-2)) * x) + (-1)) = 4 | (1x + (-1)) = 4 | ((-1) + 1x) = 4 | (((-1) + 1x) * 1) = (4 * 1) | ((-1) + 1x) = (4 * 1) | (1x + (-1)) = (4 * 1) | ((1x + (-1)) + 1) = ((4 * 1) + 1) | ((1x + (-1)) + 1) = ((1 * 4) + 1) | (1x + ((-1) + 1)) = ((1 * 4) + 1) | (1x + 0) = ((1 * 4) + 1) | 1x = ((1 * 4) + 1) | 1x = (4 + 1) | 1x = 5 | x = 5"
26,271,"x = ((-1) / (-2))
 | x = [1/2]"
27,273,"x = ((-1) / 2)
 | x = ([-1/2])"
28,283,x = (1 / 2) | x = [1/2]
