,Equation Number,Equation Output
0,0,"(1 / 2) = x
 | Nonex = (1 / 2) | reflx = [1/2] | eval 0.1, (1 / 2)"
1,2,"((-1) + 2x) = (3x + (-4))
 | None(2x + (-1)) = (3x + (-4)) | comm 0.0, ((-1) + 2x)((2x + (-1)) - (-1)) = ((3x + (-4)) - (-1)) | sub (-1)2x = ((3x + (-4)) - (-1)) | assoc~eval~add0 0.0~0.0.1~0.0, ((2x + (-1)) - (-1))~((-1) - (-1))~(2x + 0)2x = (3x + ((-4) - (-1))) | assoc 0.1, ((3x + (-4)) - (-1))-1x = (((-4) - (-1)) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, 3x~(2x - 3x)~(3x + ((-4) - (-1)))~((((-4) - (-1)) + 3x) - 3x)~(3x - 3x)~(2 - 3)-1x = (-3) | eval~eval 0.1.0~0.1, ((-4) - (-1))~((-3) + 0)x = 3 | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-1)~((-3) / (-1))~-1x~((x * (-1)) / (-1))~((-1) / (-1))~(x * 1)"
2,3,"(-1x + (-2)) = (-3x + (-4))
 | None((-1x + (-2)) - (-2)) = ((-3x + (-4)) - (-2)) | sub (-2)-1x = ((-3x + (-4)) - (-2)) | assoc~eval~add0 0.0~0.0.1~0.0, ((-1x + (-2)) - (-2))~((-2) - (-2))~(-1x + 0)-1x = (-3x + ((-4) - (-2))) | assoc 0.1, ((-3x + (-4)) - (-2))2x = (((-4) - (-2)) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -3x~(-1x - -3x)~(-3x + ((-4) - (-2)))~((((-4) - (-2)) + -3x) - -3x)~(-3x - -3x)~((-1) - (-3))2x = (-2) | eval~eval 0.1.0~0.1, ((-4) - (-2))~((-2) + 0)x = (-1) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 2~((-2) / 2)~2x~((x * 2) / 2)~(2 / 2)~(x * 1)"
3,4,"(-1x + 2) = (-3x + 4)
 | None((-1x + 2) - 2) = ((-3x + 4) - 2) | sub 2-1x = ((-3x + 4) - 2) | assoc~eval~add0 0.0~0.0.1~0.0, ((-1x + 2) - 2)~(2 - 2)~(-1x + 0)-1x = (-3x + (4 - 2)) | assoc 0.1, ((-3x + 4) - 2)2x = ((4 - 2) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -3x~(-1x - -3x)~(-3x + (4 - 2))~(((4 - 2) + -3x) - -3x)~(-3x - -3x)~((-1) - (-3))2x = 2 | eval~eval 0.1.0~0.1, (4 - 2)~(2 + 0)x = 1 | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 2~(2 / 2)~2x~((x * 2) / 2)~(2 / 2)~(x * 1)"
4,5,"(1x - 2) = -3x
 | None-3x = (1x - 2) | refl-3x = (1x + (-2)) | subsub 0.1, (1x - 2)-4x = ((-2) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, 1x~(-3x - 1x)~(1x + (-2))~(((-2) + 1x) - 1x)~(1x - 1x)~((-3) - 1)-4x = (-2) | eval 0.1, ((-2) + 0)x = [1/2] | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-4)~((-2) / (-4))~-4x~((x * (-4)) / (-4))~((-4) / (-4))~(x * 1)"
5,6,"1x = (((-2) + 3x) + 4)
 | None1x = ((3x + (-2)) + 4) | comm 0.1.0, ((-2) + 3x)1x = (3x + ((-2) + 4)) | assoc 0.1, ((3x + (-2)) + 4)-2x = (((-2) + 4) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, 3x~(1x - 3x)~(3x + ((-2) + 4))~((((-2) + 4) + 3x) - 3x)~(3x - 3x)~(1 - 3)-2x = 2 | eval~eval 0.1.0~0.1, ((-2) + 4)~(2 + 0)x = (-1) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-2)~(2 / (-2))~-2x~((x * (-2)) / (-2))~((-2) / (-2))~(x * 1)"
6,9,"(-1x / x) = -2x
 | None-2x = (-1x / x) | refl-2x = ((-1) * (x / x)) | assoc 0.1, (-1x / x)-2x = ((-1) * 1) | div_self 0.1.1, (x / x)-2x = (-1) | eval 0.1, ((-1) * 1)x = [1/2] | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-2)~((-1) / (-2))~-2x~((x * (-2)) / (-2))~((-2) / (-2))~(x * 1)"
7,10,"(-1x + (-2)) = ((-3) + -4x)
 | None((-1x + (-2)) - (-2)) = (((-3) + -4x) - (-2)) | sub (-2)-1x = (((-3) + -4x) - (-2)) | assoc~eval~add0 0.0~0.0.1~0.0, ((-1x + (-2)) - (-2))~((-2) - (-2))~(-1x + 0)-1x = ((-4x + (-3)) - (-2)) | comm 0.1.0, ((-3) + -4x)-1x = (-4x + ((-3) - (-2))) | assoc 0.1, ((-4x + (-3)) - (-2))3x = (((-3) - (-2)) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, -4x~(-1x - -4x)~(-4x + ((-3) - (-2)))~((((-3) - (-2)) + -4x) - -4x)~(-4x - -4x)~((-1) - (-4))3x = (-1) | eval~eval 0.1.0~0.1, ((-3) - (-2))~((-1) + 0)x = ([-1/3]) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 3~((-1) / 3)~3x~((x * 3) / 3)~(3 / 3)~(x * 1)"
8,11,"((-1x - 2) + 3x) = (4x + 5x)
 | None(4x + 5x) = ((-1x - 2) + 3x) | refl(4x + 5x) = (3x + (-1x - 2)) | comm 0.1, ((-1x - 2) + 3x)(4x + 5x) = ((3x + -1x) - 2) | assoc 0.1, (3x + (-1x - 2))((4 + 5) * x) = ((3x + -1x) - 2) | dist 0.0, (4x + 5x)9x = ((3x + -1x) - 2) | eval 0.0.0, (4 + 5)9x = ((3x + -1x) + (-2)) | subsub 0.1, ((3x + -1x) - 2)9x = (((3 + (-1)) * x) + (-2)) | dist 0.1.0, (3x + -1x)9x = (2x + (-2)) | eval 0.1.0.0, (3 + (-1))7x = ((-2) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, 2x~(9x - 2x)~(2x + (-2))~(((-2) + 2x) - 2x)~(2x - 2x)~(9 - 2)7x = (-2) | eval 0.1, ((-2) + 0)x = ([-2/7]) | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, 7~((-2) / 7)~7x~((x * 7) / 7)~(7 / 7)~(x * 1)"
9,12,"(1x + (-2)) = ((-3) + 4x)
 | None((1x + (-2)) - (-2)) = (((-3) + 4x) - (-2)) | sub (-2)1x = (((-3) + 4x) - (-2)) | assoc~eval~add0 0.0~0.0.1~0.0, ((1x + (-2)) - (-2))~((-2) - (-2))~(1x + 0)1x = ((4x + (-3)) - (-2)) | comm 0.1.0, ((-3) + 4x)1x = (4x + ((-3) - (-2))) | assoc 0.1, ((4x + (-3)) - (-2))-3x = (((-3) - (-2)) + 0) | sub~dist~comm~assoc~sub_self~eval $~0.0~0.1.0~0.1~0.1.1~0.0.0, 4x~(1x - 4x)~(4x + ((-3) - (-2)))~((((-3) - (-2)) + 4x) - 4x)~(4x - 4x)~(1 - 4)-3x = (-1) | eval~eval 0.1.0~0.1, ((-3) - (-2))~((-1) + 0)x = [1/3] | div~eval~comm~assoc~eval~mul1 $~0.1~0.0.0~0.0~0.0.1~0.0, (-3)~((-1) / (-3))~-3x~((x * (-3)) / (-3))~((-3) / (-3))~(x * 1)"
