,Equation Number,Equation Output
0,0,"(1 / 2) = x
 | Nonex = (1 / 2) | reflx = [1/2] | eval 0.1, (1 / 2)"
1,21,"((-1) / 2) = x
 | Nonex = ((-1) / 2) | reflx = ([-1/2]) | eval 0.1, ((-1) / 2)"
2,28,"(-1x + 2x) = (-3)
 | None(((-1) + 2) * x) = (-3) | dist 0.0, (-1x + 2x)1x = (-3) | eval 0.0.0, ((-1) + 2)x = (-3) | mul1 0.0, 1x"
3,49,"(-1x + 2x) = ((-3) + 4)
 | None(((-1) + 2) * x) = ((-3) + 4) | dist 0.0, (-1x + 2x)1x = ((-3) + 4) | eval 0.0.0, ((-1) + 2)1x = 1 | eval 0.1, ((-3) + 4)x = 1 | mul1 0.0, 1x"
4,50,"1x = (2 + 3)
 | None1x = 5 | eval 0.1, (2 + 3)x = 5 | mul1 0.0, 1x"
5,65,"((1 - 2) / 3) = x
 | Nonex = ((1 - 2) / 3) | reflx = ((-1) / 3) | eval 0.1.0, (1 - 2)x = ([-1/3]) | eval 0.1, ((-1) / 3)"
6,82,"(-1) = x
 | Nonex = (-1) | refl"
7,85,"x = ((1 - 2) / (-3))
 | Nonex = ((-1) / (-3)) | eval 0.1.0, (1 - 2)x = [1/3] | eval 0.1, ((-1) / (-3))"
8,87,"1x = (2x / x)
 | None1x = (2 * (x / x)) | assoc 0.1, (2x / x)1x = (2 * 1) | div_self 0.1.1, (x / x)1x = 2 | eval 0.1, (2 * 1)x = 2 | mul1 0.0, 1x"
9,100,"x = (((-1) + 2) / 3)
 | Nonex = (1 / 3) | eval 0.1.0, ((-1) + 2)x = [1/3] | eval 0.1, (1 / 3)"
